Company,Role,Location,Application/Link,Date Posted
Perpay, Junior Data Analyst ," Philadelphia, Pa "," <a href=""https://boards.greenhouse.io/perpay/jobs/4034489007?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/u1KNU8z.png"" width=""118"" alt=""Apply""></a> ", Sep 13 
 Capital One , Associate – FT New Grad 2024 - Data Analyst ," Toronto, ON, Canada ", 🔒 , Sep 13 
 Arista Networks , Software Engineer ," Vancouver, BC, Canada ", 🔒 , Sep 12 
 Taboola , Solutions Engineer ," London, UK ", 🔒 , Sep 12 
Orion Innovation, Programmer Analyst ," Edison, NJ "," <a href=""https://www.orioninc.com/careers/job/?gh_jid=4066069006&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/dd758103-1a50-47c9-b37a-be9696dc227c?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Sep 12 
Orion Innovation, Programmer Analyst ," Edison, NJ "," <a href=""https://www.orioninc.com/careers/job/?gh_jid=4066072006&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/0702d171-e061-4086-b25d-f01b5a7110ad?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Sep 12 
 Arista Networks , UX Designer - Remote from Turkey - Hungary or Romania , Remote , 🔒 , Sep 12 
 Arista Networks , Software Engineer - Packet Forwarding Engines ," Vancouver, BC, Canada ", 🔒 , Sep 12 
 Arista Networks , Software Engineer - Network Systems ," Vancouver, BC, Canada ", 🔒 , Sep 12 
 Connectly , Software Engineer - Backend , Remote , 🔒 , Sep 12 
 Vontive , New Grad Software Engineer - 2023 , SF , 🔒 , Sep 12 
 Matroid , Vision Solutions Field Engineer ," Palo Alto, CA ", 🔒 , Sep 12 
 Matroid , Full Stack Engineer for Computer Vision Products ," Palo Alto, CA ", 🔒 , Sep 12 
 HealthJoy , Analytics Engineer I , Remote in USA , 🔒 , Sep 12 
 Aviatrix , Software Engineer – New Grad ," Urbana, IL ", 🔒 , Sep 11 
Perpay, Software Engineer – New Grad 2024 ," Philadelphia, PA "," <a href=""https://boards.greenhouse.io/perpay/jobs/4034578007?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/87535675-cdd3-44ea-b36f-622b1a2be47b?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Sep 11 
 Phaidra , Software Engineer - Connectivity , Remote , 🔒 , Sep 11 
 Garmin , SOFTWARE ENGINEER 1 - EMBEDDED DEVELOPMENT ," Olathe, KS "," <a href=""https://careers.garmin.com/careers-home/jobs/11249?lang=en-us&iss=linkedin&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/u1KNU8z.png"" width=""118"" alt=""Apply""></a> ", Sep 11 
 Sony Music Entertainment , Data Analytics Rotation Training Program-2024 , NYC , 🔒 , Sep 11 
 Samsara , Software Engineer – New Grad , Remote , 🔒 , Sep 09 
 Chartboost , Software Engineer - Bidder , Remote , 🔒 , Sep 08 
 Wolverine Trading , Entry-Level Software Engineer - Immediate Start ," Chicago, IL ", 🔒 , Sep 08 
 Wellington Management , Software Engineering Track – Investment Services & Technology Early Career Program - Class of 2024 - Boston ," Cambridge, MA ", 🔒 , Sep 07 
 Okta , Software Engineer New Grad - Customer Identity Cloud , Remote in USA , 🔒 , Sep 07 
 Capital One , FT Associate – New Grad 2024 - Software Engineer ," Toronto, ON, Canada ", 🔒 , Sep 07 
 Workato , Interaction Designer , Remote in USA , 🔒 , Sep 07 
 WhatNot , Software Engineer – 2024 New Grad , Remote , 🔒 , Sep 07 
 Applied Materials , Software Engineer – New College Grad Opportunity - Common Systems Software ," Santa Clara, CA ", 🔒 , Sep 07 
 Top Hat , Software Developer , Canada , 🔒 , Sep 07 
 OptionMetrics , IT Operations Engineer , NYC , 🔒 , Sep 06 
 Nuro , Software Engineer - Web Application ," Mountain View, CA ", 🔒 , Sep 06 
 Glean , Software Engineer – University Grad ," Palo Alto, CA ", 🔒 , Sep 05 
 Chartboost , Software Engineer - Bidder - Spain , Remote , 🔒 , Sep 05 
 RVO Health , 2024 Early Career Program: Associate Data Analyst ," Charlotte, NC ", 🔒 , Sep 01 
 RVO Health , 2024 Early Career Program: Software Engineering Intern ," Charlotte, NC ", 🔒 , Sep 01 
 RVO Health , 2024 Early Career Program: Software Engineer ," Charlotte, NC ", 🔒 , Sep 01 
Applied Intuition, Software Engineer – New Grad ," Mountain View, CA "," <a href=""https://boards.greenhouse.io/appliedintuition/jobs/4296158005?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/3a49f685-42f4-4aac-86a5-765f0cf8f1cd?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Sep 01 
 ZipRecruiter , Software Engineer – New Grad ," Santa Monica, CA ", 🔒 , Sep 01 
 SeatGeek , Software Engineer – New Grad , NYC , 🔒 , Sep 01 
 SeatGeek , Software Engineer – New Grad , Remote in USA , 🔒 , Sep 01 
 SeatGeek , Application Security Engineer – New Grad , NYC , 🔒 , Sep 01 
 SeatGeek , Application Security Engineer – New Grad , Remote in USA , 🔒 , Sep 01 
 SeatGeek , Data Analyst – New Grad , NYC , 🔒 , Sep 01 
 SeatGeek , Data Analyst – New Grad , Remote in USA , 🔒 , Sep 01 
 January , Software Engineer - New York City , NYC , 🔒 , Aug 31 
 January , Software Engineer - San Francisco , SF , 🔒 , Aug 31 
 Disher , RPA Developer , Remote , 🔒 , Aug 30 
Ramp, New Grad 2024 - Software Engineer - Backend , NYC ," <a href=""https://jobs.ashbyhq.com/ramp/29663a4b-c457-4a38-bbdf-069f189b20eb/application?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/ebe01b3a-3eff-478b-baa4-8981955031a1?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 30 
 Bankers Healthcare Group , Quantitative Analyst - Credit Risk ," Plantation, FL ", 🔒 , Aug 30 
 Bankers Healthcare Group , Quantitative Analyst - Credit Risk , Remote in USA , 🔒 , Aug 30 
 NVIDIA , GPU Performance Software Engineer – New College Grad 2023 ," Santa Clara, CA ", 🔒 , Aug 30 
 The Boeing Company , Manager Software Development – Early Career Program ," Seattle, WA ", 🔒 , Aug 30 
 Stripe , Software Engineering – New Grad ," Toronto, ON, Canada ", 🔒 , Aug 30 
Ramp, New Grad 2024 - Software Engineer - Frontend , NYC ," <a href=""https://jobs.ashbyhq.com/ramp/0ae01d73-3f48-4722-9810-0c6c1940d7bd/application?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/e41da6ef-819c-48f2-98a9-d4717ceb3fa8?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 30 
 Wisetack , Credit Risk Analyst , Remote in USA , 🔒 , Aug 29 
 Jagger , IT Manager ," Abbotsford, BC, Canada ", 🔒 , Aug 29 
 Hudson River Trading , Software Engineer – 2024 Grads - C++ , NYC , 🔒 , Aug 28 
 Hudson River Trading , Software Engineer – 2024 Grads - C++ ," London, UK ", 🔒 , Aug 28 
 Hudson River Trading , Algorithm Developer – 2024 Grads , NYC , 🔒 , Aug 28 
 Netflix , New Grad Software Engineer - 2024 ," Los Gatos, CA ", 🔒 , Aug 28 
 Relativity Space , Materials and Process Engineer II ," Long Beach, CA ", 🔒 , Aug 25 
 NVIDIA , Software Engineer – New College Grad 2024 - Deep Learning Cudnn ," Santa Clara, CA ", 🔒 , Aug 25 
Turbo.net, Software Engineer ," Redmond, WA "," <a href=""https://boards.greenhouse.io/turbo/jobs/4115212005?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/4230fa0e-b911-45ee-a6d7-c8d9e6d50ac3?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 25 
 Hitachi Vantara , Software Development Engineer - Full Stack ," Waltham, MA ", 🔒 , Aug 25 
 Hitachi Vantara , Entry Level Software Engineer ," Wimborne Minster, Wimborne, UK ", 🔒 , Aug 25 
 Figma , Data Scientist – Early Career - 2024 , SF</br>NYC , 🔒 , Aug 25 
 Businessolver , Java Engineer I - Work Remotely within the USA , Remote in USA , 🔒 , Aug 24 
 Qualtrics , Software Engineer – New Grad - Seattle - WA ," Seattle, WA ", 🔒 , Aug 24 
 Qualtrics , Software Engineer – New Grad - Provo - UT ," Provo, UT ", 🔒 , Aug 24 
 Qualtrics , Software Engineer – New Grad - Reston - VA ," Reston, VA ", 🔒 , Aug 24 
 Anyscale , Software Engineer – New Grad 2024 , SF , 🔒 , Aug 24 
 OKX  , Software Engineer – New Grad - Backend - Mobile ," San Jose, CA ", 🔒 , Aug 23 
 Benefitfocus , Data Analyst , Remote in USA , 🔒 , Aug 23 
 NVIDIA , Semiconductor Safety Engineer – New College Grad 2023 ," Austin, TX</br>Santa Clara, CA ", 🔒 , Aug 22 
Scale AI, Machine Learning Research Engineer – New Grad , SF ," <a href=""https://boards.greenhouse.io/scaleai/jobs/4305880005?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/614bd3d7-ab05-48e3-8028-576e487abf70?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 22 
 Scale AI , Software Engineer – New Grad , SF , 🔒 , Aug 22 
 Enable , Entry-Level Implementation Analyst ," Toronto, ON, Canada ", 🔒 , Aug 22 
 Okcoin , Software Engineer – New Grad - Backend - Frontend - Mobile ," San Jose, CA ", 🔒 , Aug 22 
 Reliable Robotics , Remote Piloting UX Engineer ," Mountain View, CA ", 🔒 , Aug 22 
 Ready , Full Stack Software Engineer , SF , 🔒 , Aug 22 
 Stripe , Software Engineering – New Grad ," Toronto, ON, Canada ", 🔒 , Aug 21 
 Stripe , Software Engineering – New Grad ," <details><summary>**4 locations**</summary>Seattle, WA</br>SF</br>Chicago, IL</br>NYC</details> ", 🔒 , Aug 21 
 Figma , Software Engineer – Early Career - 2024 , SF</br>NYC , 🔒 , Aug 21 
 Zscaler , Software Engineer ," San Jose, CA ", 🔒 , Aug 21 
Palantir, Software Engineer – New Grad ," London, UK "," <a href=""https://jobs.lever.co/palantir/d372c805-d0cd-4a10-9522-fbecc78d6f3e/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/4cbc04d5-d651-438a-81ec-b82f768a6602?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 21 
Palantir, Forward Deployed Software Engineer – New Grad ," London, UK "," <a href=""https://jobs.lever.co/palantir/73f6f11a-8165-4009-8dba-cc78ab9ca990/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/791ef167-9292-42dd-9cf5-714780fb6097?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 21 
 Palantir , Software Engineer – New Grad , NYC , 🔒 , Aug 21 
Uncountable, Full-Stack Engineer – New Grad , SF</br>NYC ," <a href=""https://simplify.jobs/p/76f659b7-cf65-4fe2-8f7c-52e86db4428f?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/76f659b7-cf65-4fe2-8f7c-52e86db4428f?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 20 
 Rhombus Power , Data Engineer - Omaha ," Omaha, NE ", 🔒 , Aug 18 
 Rhombus Power , Data Engineer - Colorado Springs ," Colorado Springs, CO ", 🔒 , Aug 18 
 First American , Data Science Associate - Hybrid ," Orange, CA ", 🔒 , Aug 18 
 Jump Trading , Campus Quantitative Researcher - Full-Time ," London, UK ", 🔒 , Aug 18 
 Databricks , Data Scientist – New Grad - 2024 Start , SF , 🔒 , Aug 18 
 Sonatype , Associate Data Scientist , Remote in USA , 🔒 , Aug 18 
 Allegiant Air , Software Middleware Engineer I ," Las Vegas, NV ", 🔒 , Aug 16 
 Salesforce , Associate Site Reliability Engineer – New Grad - Govcloud ," Reston, VA</br>Burlington, MA ", 🔒 , Aug 14 
 Kitware , OSTP Software Developer ," Clifton Park, NY ", 🔒 , Aug 14 
 Celonis , Associate Value Engineer - Orbit Program , NYC , 🔒 , Aug 13 
 Celonis , Associate Value Engineer - Orbit ," Raleigh, NC ", 🔒 , Aug 13 
 AnaVation LLC , Software Engineer ," Reston, VA ", 🔒 , Aug 12 
Arrowstreet Capital, Quantitative Researcher ," Cambridge, MA "," <a href=""https://arrowstreetcapital.wd5.myworkdayjobs.com/en-US/Arrowstreet/job/Boston/Quantitative-Researcher_R788?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/d301b868-62db-4adf-9f68-b43640f3b0fa?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 11 
 Arrowstreet Capital , Quantitative Developer ," Cambridge, MA ", 🔒 , Aug 11 
 Magic Leap , Associate – Software Engineer - Graphics Systems ," Sunnyvale, CA ", 🔒 , Aug 10 
 Jump Trading , Campus Quantitative Researcher - Full-Time ," Chicago, IL ", 🔒 , Aug 10 
 Hillel International , Hillel at the University of Wisconsin Springboard Fellow ," Madison, WI ", 🔒 , Aug 10 
 Gecko Robotics , Software Engineer – New Grad - Robot Systems ," Pittsburgh, PA ", 🔒 , Aug 09 
 Gecko Robotics , Robotics – New Grad - Localization Engineer ," Pittsburgh, PA ", 🔒 , Aug 09 
 Color , New Grad Software Engineer , Remote in USA , 🔒 , Aug 09 
 Tensley Consulting , Software Engineer Lvl 3 ," Annapolis Junction, MD ", 🔒 , Aug 09 
 Tensley Consulting , Software Engineer Level 1 - Java-focused ," Annapolis Junction, MD ", 🔒 , Aug 09 
 WeRide , Software Engineer – New Grads 2024 ," San Jose, CA ", 🔒 , Aug 07 
 Palantir , Forward Deployed Software Engineer – New Grad - US Government , NYC , 🔒 , Aug 07 
 Woodard Curran , Entry-level Data Integration Specialist ," Helena, MT ", 🔒 , Aug 07 
 Databricks , Software Engineer – New Grad - 2024 Start ," Bellevue, WA ", 🔒 , Aug 04 
 Databricks , Software Engineer – New Grad - Distributed Data Systems - 2024 Start ," Bellevue, WA ", 🔒 , Aug 04 
 Databricks , Software Engineer – New Grad - 2024 Start ," Mountain View, CA ", 🔒 , Aug 04 
 Databricks , Software Engineer – New Grad - 2024 Start , SF , 🔒 , Aug 04 
 Databricks , Software Engineer – New Grad - Distributed Data Systems - 2024 Start ," Mountain View, CA ", 🔒 , Aug 04 
The Voleon Group, Data Scientist ," Oakland, CA "," <a href=""https://jobs.lever.co/voleon/ebd0306d-4353-4b10-be9d-479af8127617/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/05818f02-8334-4c43-bc92-eb2b09113918?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 04 
 Belvedere Trading , Software Engineer – Entry Level 2024 Chicago ," Chicago, IL ", 🔒 , Aug 04 
 Belvedere Trading , Junior Trader – Entry Level 2024 ," Chicago, IL ", 🔒 , Aug 04 
 Constellation Technologies , Software Engineer 0 ," Odenton, MD ", 🔒 , Aug 03 
 Ramp , New Grad 2023 - Software Engineer - Frontend , NYC , 🔒 , Aug 02 
 Ramp , New Grad 2023 - Software Engineer - Backend , NYC , 🔒 , Aug 02 
 Skyryse , Model Based Design Software Engineer ," El Segundo, CA ", 🔒 , Aug 02 
 NVIDIA , ASIC Clocks Engineer – New College Grad 2023 ," Santa Clara, CA ", 🔒 , Aug 02 
 Veeva Systems , Associate Software Engineer – Seeking 2024 Grads ," Raleigh, NC ", 🔒 , Aug 02 
 Veeva Systems , Associate Software Engineer – Master’s 2024 Graduates in Computer Science ," Cambridge, MA ", 🔒 , Aug 02 
 Veeva Systems , Associate Performance Engineer – Seeking 2024 Grads ," Cambridge, MA ", 🔒 , Aug 02 
 Waabi , Software Engineer - Simulation ," Toronto, ON, Canada</br>SF</br>Remote in USA ", 🔒 , Aug 02 
Veeva Systems, Associate Software Engineer – Seeking 2024 Grads ," Cambridge, MA "," <a href=""https://jobs.lever.co/veeva/ef05bae6-d743-4a19-ac00-3ad9881cac2e/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/99a5345c-0dc1-4719-af78-03a0bd03533e?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 02 
 Veeva Systems , Associate Software Engineer – Master’s 2024 Graduates in Computer Science ," Toronto, ON, Canada ", 🔒 , Aug 02 
 Veeva Systems , Associate Performance Engineer – Seeking 2024 Grads ," Pleasanton, CA ", 🔒 , Aug 02 
Veeva Systems, Associate Performance Engineer – Seeking 2024 Grads ," Toronto, ON, Canada "," <a href=""https://jobs.lever.co/veeva/ad20a133-f6ac-4545-b758-a1313abdb0fa/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/3e569289-bf9b-427c-ac73-6152ef7a97e9?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 02 
 Veeva Systems , Associate Mobile Engineer – Seeking 2024 Grads ," Columbus, OH ", 🔒 , Aug 02 
 Veeva Systems , Associate Mobile Engineer – Seeking 2024 Grads ," Pleasanton, CA ", 🔒 , Aug 02 
Veeva Systems, Associate Software Engineer – Seeking 2024 Grads ," Kansas City, MO "," <a href=""https://jobs.lever.co/veeva/10ac573d-64da-4a28-8cc2-05167e0d6789/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/6d93a0fb-29ab-4fa9-98de-4207b7478d00?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 02 
 Veeva Systems , Associate Software Engineer – Master’s 2024 Graduates in Computer Science ," Kansas City, MO ", 🔒 , Aug 02 
 Veeva Systems , Associate Software Engineer – Master’s 2024 Graduates in Computer Science ," Columbus, OH ", 🔒 , Aug 02 
 Veeva Systems , Associate Software Engineer – Seeking 2024 Grads ," Toronto, ON, Canada ", 🔒 , Aug 02 
 Veeva Systems , Associate Software Engineer – Seeking 2024 Grads ," Columbus, OH ", 🔒 , Aug 02 
 Veeva Systems , Associate Software Engineer – Master’s 2024 Graduates in Computer Science ," Raleigh, NC ", 🔒 , Aug 02 
Veeva Systems, Associate Software Engineer – Seeking 2024 Grads ," Pleasanton, CA "," <a href=""https://jobs.lever.co/veeva/689b64ea-1518-483e-9c47-b41fd72fdcfa/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/0ed8b19a-cee7-4d7f-9b54-1c3863536432?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 02 
 Veeva Systems , Associate Software Engineer – Master’s 2024 Graduates in Computer Science ," Pleasanton, CA ", 🔒 , Aug 02 
 Yassir , Backend Software Engineer , Remote , 🔒 , Aug 02 
 Fluence , Rotational Engineer ," Pittsburgh, PA ", 🔒 , Aug 02 
 Yassir , Backend Software Engineer ," Montreal, QC, Canada ", 🔒 , Aug 02 
 Yassir , Backend Software Engineer ," London, UK ", 🔒 , Aug 02 
Canonical, Cloud Field Engineer – Entry Level - Americas - Remote , Remote ," <a href=""https://boards.greenhouse.io/canonical/jobs/5130154?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/94832aed-3fbf-4054-9afc-24df644ac445?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 02 
 Sentry , Software Engineer – New Grad - 2024 ," Toronto, ON, Canada ", 🔒 , Aug 01 
 Sentry , Software Engineer – New Grad - 2024 , SF , 🔒 , Aug 01 
 Palantir , Forward Deployed Software Engineer – New Grad , NYC , 🔒 , Aug 01 
Palantir, Forward Deployed Software Engineer – New Grad - US Government ," Washington, DC "," <a href=""https://jobs.lever.co/palantir/cbe90327-3e6e-451c-a54c-1d3cbcef5aeb/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/f6f83b45-cf4c-4a3e-8f32-4c64672610a1?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Aug 01 
 Gecko Robotics , Software Engineer – New Grad ," Cambridge, MA ", 🔒 , Jul 31 
 Gecko Robotics , Forward Deployed Engineer – New Grad , NYC , 🔒 , Jul 31 
 Alarm.com , Software Engineer ," Liberty Lake, WA ", 🔒 , Jul 31 
 NVIDIA , System Verification Infrastructure Engineer – New College Grad 2023 ," Santa Clara, CA</br>Durham, NC</br>Hillsboro, OR ", 🔒 , Jul 27 
 Taboola , Solutions Engineer ," London, UK ", 🔒 , Jul 20 
Vatic Investments, Quantitative Researcher – Grads - Full Time , NYC ," <a href=""https://boards.greenhouse.io/vaticlabs/jobs/53549?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/23894828-e082-4590-b0bf-b6af86ba42b1?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
 Sonatype , Associate Engineer - Lifecycle / Firewall , Remote , 🔒 , Jul 19 
 Konrad Group , Software Developer – Entry Level ," Toronto, ON, Canada ", 🔒 , Jul 19 
 Squarepoint Capital , Financing Trader , NYC , 🔒 , Jul 19 
 Applied Intuition , Product Application Engineer – New Grad ," Mountain View, CA ", 🔒 , Jul 19 
 Verdant Robotics , Machine Learning Devops Engineer ," Hayward, CA ", 🔒 , Jul 19 
Study.com, Associate Software Engineer ," Mountain View, CA "," <a href=""https://jobs.lever.co/Study.com/97db6059-b701-4fff-97d7-0e1a85d513c2/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/bf3dc737-4043-40b5-ae20-f18ea69ca886?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
KoBold Metals, Associate Data Scientist ," Lusaka, Zambia "," <a href=""https://boards.greenhouse.io/koboldmetals/jobs/4283639005?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/3797b7cc-deea-4d23-b709-6833a135d1d8?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
ION Group, Trading Support Analyst - Toronto ," Toronto, ON, Canada "," <a href=""https://jobs.lever.co/ion/cdbeca09-e04a-4dfe-9b2e-9b125f2881e3/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/753bdcf8-6983-4344-b7cd-4833a9b33bc8?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
ION Group, Trading Support Analyst - Jersey City , NYC ," <a href=""https://jobs.lever.co/ion/aac1933b-9db6-4252-b44e-7a3f55d68c47/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/038e3a4b-e145-43f1-b036-94725b6dfea0?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
Wolverine Trading, Entry-Level Trader ," Chicago, IL "," <a href=""https://jobs.lever.co/wolve/1ef76232-0c1b-4c1f-b446-d25d0d97708f/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/41fc7222-635e-48c5-ae8f-1fff0030f8cb?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
 Aquatic Capital Management , Software Engineer: Early Career ," Chicago, IL ", 🔒 , Jul 19 
Aquatic Capital Management, Quantitative Researcher: Early Career ," Chicago, IL "," <a href=""https://boards.greenhouse.io/aquaticcapitalmanagement/jobs/6825774002?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/fe91a8c6-e8e8-498c-839c-daf7e881bb4a?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
Point72, Data Scientist - Proprietary Research , NYC ," <a href=""https://boards.greenhouse.io/point72/jobs/4644238002?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/95aecc3f-675c-4152-8ce7-1da05cf5b4f3?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
 Old Mission , College Graduates - Full-Time - Junior Quant Trader - 2024 ," Chicago, IL ", 🔒 , Jul 19 
 Tower Research Capital , Quantitative Trader - 2024 , NYC , 🔒 , Jul 19 
 IXL Learning , Software Engineer – New Grad ," San Mateo, CA ", 🔒 , Jul 19 
